Year,Revenue,EBIT,Income_Taxes,Pretax_Income,Diluted_Shares,EBIT_Margin,Tax_Rate,D&A,CapEx,NWC,Tax_Expense,EBIT_Calc,NOPAT,D&A_Change,CapEx_Change,NWC_Change,FCF,Period,Discount_Factor,DCF
1987,7658341000.0,1323790000.0,496348000.0,1412484000.0,5957698000.0,0.17285597494287602,0.3514007946284701,229750230.0,382917050.0,76583410.0,2691147112.9357924,1323790000.0,-1367357112.9357924,,,,,-38,,
1988,8337831000.0,1598301000.0,537434000.0,1582137000.0,5676616000.0,0.19169265963774032,0.33968866160136574,250134930.0,416891550.0,83378310.0,2832266653.048377,1598301000.0,-1233965653.048377,20384700.0,33974500.0,6794900.0,-1407517173.048377,-37,,
1989,8965786000.0,1725785000.0,571471000.0,1764310000.0,5392238000.0,0.19248563371911845,0.3239062296308472,268973580.0,448289300.0,89657860.0,2904073938.937035,1725785000.0,-1178288938.937035,18838650.0,31397750.0,6279550.0,-1363884208.937035,-36,,
1990,10236350000.0,1951563000.0,632532000.0,2014436000.0,5345914000.0,0.19065028061760295,0.3139995512391558,307090500.0,511817500.0,102363500.0,3214209306.3269324,1951563000.0,-1262646306.3269324,38116920.0,63528200.0,12705640.0,-1480078946.3269324,-35,,
1991,11571610000.0,2319042000.0,765277000.0,2383279000.0,10631680000.0,0.20040789483917967,0.3211025649955377,347148300.0,578580500.0,115716100.0,3715673652.128014,2319042000.0,-1396631652.128014,40057800.0,66763000.0,13352600.0,-1641416452.128014,-34,,
1992,13073860000.0,2770091000.0,862273000.0,2746088000.0,5227084000.0,0.21188011803706022,0.31400049816320524,392215800.0,653693000.0,130738600.0,4105198552.9160023,2770091000.0,-1335107552.9160023,45067500.0,75112500.0,15022500.0,-1611607252.9160023,-33,,
1993,13957000000.0,3102000000.0,997000000.0,3185000000.0,5208000000.0,0.22225406606004156,0.3130298273155416,418710000.0,697850000.0,139570000.0,4368957299.843014,3102000000.0,-1266957299.8430138,26494200.0,44157000.0,8831400.0,-1554928699.8430138,-32,,
1994,16172000000.0,3708000000.0,1174000000.0,3728000000.0,5160000000.0,0.2292851842691071,0.31491416309012876,485160000.0,808600000.0,161720000.0,5092791845.493563,3708000000.0,-1384791845.4935627,66450000.0,110750000.0,22150000.0,-1730381845.4935627,-31,,
1995,18018000000.0,4092000000.0,1342000000.0,4328000000.0,5049000000.0,0.2271062271062271,0.3100739371534196,540540000.0,900900000.0,180180000.0,5586912199.630314,4092000000.0,-1494912199.6303139,55380000.0,92300000.0,18460000.0,-1873732199.6303139,-30,,
1996,18546000000.0,3915000000.0,1104000000.0,4596000000.0,4988000000.0,0.21109673244904562,0.2402088772845953,556380000.0,927300000.0,185460000.0,4454913838.120105,3915000000.0,-539913838.1201048,15840000.0,26400000.0,5280000.0,-916113838.1201048,-29,,
1997,18868000000.0,5001000000.0,1926000000.0,6055000000.0,5030000000.0,0.26505193979224084,0.31808422791081753,566040000.0,943400000.0,188680000.0,6001613212.221305,5001000000.0,-1000613212.2213049,9660000.0,16100000.0,3220000.0,-1381193212.221305,-28,,
1998,18813000000.0,4967000000.0,1665000000.0,5198000000.0,4992000000.0,0.2640195609419019,0.32031550596383224,564390000.0,940650000.0,188130000.0,6026095613.697576,4967000000.0,-1059095613.6975756,-1650000.0,-2750000.0,-550000.0,-1434805613.6975756,-27,,
2000,17354000000.0,3691000000.0,1222000000.0,3399000000.0,4974000000.0,0.2126887172986055,0.3595175051485731,520620000.0,867700000.0,173540000.0,6239066784.348338,3691000000.0,-2548066784.348338,-43770000.0,-72950000.0,-14590000.0,-2880556784.348338,-25,,
2001,17545000000.0,5352000000.0,1691000000.0,5670000000.0,4974000000.0,0.30504417212881163,0.2982363315696649,526350000.0,877250000.0,175450000.0,5232556437.3897705,5352000000.0,119443562.61022949,5730000.0,9550000.0,1910000.0,-233366437.3897705,-24,,
2002,19564000000.0,5458000000.0,1523000000.0,5499000000.0,4966000000.0,0.27898180331220607,0.2769594471722131,586920000.0,978200000.0,195640000.0,5418434624.477177,5457999999.999999,39565375.52282238,60570000.0,100950000.0,20190000.0,-371904624.4771776,-23,,
2003,20857000000.0,5221000000.0,1148000000.0,5495000000.0,4924000000.0,0.25032363235364624,0.2089171974522293,625710000.0,1042850000.0,208570000.0,4357385987.261147,5221000000.0,863614012.7388535,38790000.0,64650000.0,12930000.0,433544012.73885345,-22,,
2004,21742000000.0,5698000000.0,1375000000.0,6222000000.0,4858000000.0,0.262073406310367,0.22099003535840567,652260000.0,1087100000.0,217420000.0,4804765348.762456,5698000000.0,893234651.2375441,26550000.0,44250000.0,8850000.0,449544651.23754406,-21,,
2005,23104000000.0,6085000000.0,1818000000.0,6690000000.0,4786000000.0,0.26337430747922436,0.2717488789237668,693120000.0,1155200000.0,231040000.0,6278486098.654709,6085000000.0,-193486098.65470886,40860000.0,68100000.0,13620000.0,-669186098.6547089,-20,,
2006,24088000000.0,6308000000.0,1498000000.0,6578000000.0,4700000000.0,0.26187313184988376,0.22772879294618426,722640000.0,1204400000.0,240880000.0,5485531164.487686,6308000000.0,822468835.5123138,29520000.0,49200000.0,9840000.0,330868835.51231384,-19,,
2007,28857000000.0,7252000000.0,1892000000.0,7919000000.0,4662000000.0,0.25130817479294454,0.23891905543629247,865710000.0,1442850000.0,288570000.0,6894487182.725092,7252000000.000001,357512817.274909,143070000.0,238450000.0,47690000.0,-267317182.72509098,-18,,
2008,31944000000.0,8446000000.0,1632000000.0,7506000000.0,4672000000.0,0.26440020035061357,0.21742605915267785,958320000.0,1597200000.0,319440000.0,6945458033.573141,8446000000.0,1500541966.426859,92610000.0,154350000.0,30870000.0,830791966.4268589,-17,,
2009,30990000000.0,8231000000.0,2040000000.0,8946000000.0,4658000000.0,0.2656018070345273,0.22803487592219987,929700000.0,1549500000.0,309900000.0,7066800804.828974,8231000000.000001,1164199195.1710272,-28620000.0,-47700000.0,-9540000.0,553939195.1710272,-16,,
2010,35119000000.0,8413000000.0,2370000000.0,14207000000.0,4667000000.0,0.23955693499245423,0.16681917364679383,1053570000.0,1755950000.0,351190000.0,5858522559.301752,8413000000.0,2554477440.698248,123870000.0,206450000.0,41290000.0,1810807440.698248,-15,,
2011,46542000000.0,10173000000.0,2812000000.0,11458000000.0,4646000000.0,0.21857676936960166,0.245418048525048,1396260000.0,2327100000.0,465420000.0,11422246814.452784,10173000000.0,-1249246814.4527836,342690000.0,571150000.0,114230000.0,-2294316814.4527836,-14,,
2012,48017000000.0,10779000000.0,2723000000.0,11809000000.0,4584000000.0,0.22448299560572296,0.23058684054534678,1440510000.0,2400850000.0,480170000.0,11072088322.465916,10779000000.0,-293088322.4659157,44250000.0,73750000.0,14750000.0,-1268178322.4659157,-13,,
2013,46854000000.0,10228000000.0,2851000000.0,11477000000.0,4509000000.0,0.21829512955137234,0.2484098632046702,1405620000.0,2342700000.0,468540000.0,11638995730.591618,10228000000.0,-1410995730.5916176,-34890000.0,-58150000.0,-11630000.0,-2336445730.5916176,-12,,
2014,45998000000.0,9708000000.0,2201000000.0,9325000000.0,4450000000.0,0.21105265446323754,0.23603217158176942,1379940000.0,2299900000.0,459980000.0,10857007828.41823,9708000000.0,-1149007828.41823,-25680000.0,-42800000.0,-8560000.0,-2060407828.41823,-11,,
2015,44294000000.0,8728000000.0,2239000000.0,9605000000.0,4405000000.0,0.19704700410890866,0.23310775637688705,1328820000.0,2214700000.0,442940000.0,10325274960.957834,8728000000.0,-1597274960.9578342,-51120000.0,-85200000.0,-17040000.0,-2466114960.9578342,-10,,
2016,41863000000.0,8657000000.0,1586000000.0,8136000000.0,4367000000.0,0.20679358861046748,0.19493608652900687,1255890000.0,2093150000.0,418630000.0,8160609390.363814,8657000000.0,496390609.63618565,-72930000.0,-121550000.0,-24310000.0,-316559390.36381435,-9,,
2017,36212000000.0,7755000000.0,5607000000.0,6890000000.0,4324000000.0,0.21415552855407047,0.8137880986937591,1086360000.0,1810600000.0,362120000.0,29468894629.898407,7755000000.0,-21713894629.898407,-169530000.0,-282550000.0,-56510000.0,-22381624629.898407,-8,,
2018,34300000000.0,9152000000.0,1749000000.0,8225000000.0,4299000000.0,0.26682215743440235,0.21264437689969604,1029000000.0,1715000000.0,343000000.0,7293702127.6595745,9152000000.0,1858297872.3404255,-57360000.0,-95600000.0,-19120000.0,1191417872.3404255,-7,,
2019,37266000000.0,10086000000.0,1801000000.0,10786000000.0,4314000000.0,0.27064884881661566,0.16697570925273503,1117980000.0,1863300000.0,372660000.0,6222516781.0124235,10086000000.0,3863483218.9875765,88980000.0,148300000.0,29660000.0,3088503218.9875765,-6,,
2020,33014000000.0,8997000000.0,1981000000.0,9749000000.0,4323000000.0,0.2725207487732477,0.20320032823879372,990420000.0,1650700000.0,330140000.0,6708455636.475536,8997000000.0,2288544363.5244637,-127560000.0,-212600000.0,-42520000.0,1670784363.5244637,-5,,
2021,38655000000.0,10308000000.0,2621000000.0,12425000000.0,4340000000.0,0.26666666666666666,0.2109456740442656,1159650000.0,1932750000.0,386550000.0,8154105030.181087,10308000000.0,2153894969.8189135,169230000.0,282050000.0,56410000.0,1324384969.8189135,-4,,
2022,43004000000.0,10909000000.0,2115000000.0,11686000000.0,4350000000.0,0.2536740768300623,0.1809857949683382,1290120000.0,2150200000.0,430040000.0,7783113126.818416,10909000000.0,3125886873.1815844,130470000.0,217450000.0,43490000.0,2222316873.1815844,-3,,
2023,45754000000.0,11311000000.0,2249000000.0,12952000000.0,4339000000.0,0.24721335839489444,0.17364113650401483,1372620000.0,2287700000.0,457540000.0,7944776559.604694,11311000000.0,3366223440.3953056,82500000.0,137500000.0,27500000.0,2423643440.3953056,-2,,
