Year,Revenue,EBIT,Income_Taxes,Pretax_Income,Diluted_Shares,D&A_Raw,CapEx_Raw,Change_AR,Change_Inventory,Change_AP,EBIT_Margin,Tax_Rate,NWC_Raw,D&A,CapEx,NWC,Tax_Expense,EBIT_Calc,NOPAT,D&A_Change,CapEx_Change,NWC_Change,FCF,Period,Discount_Factor,DCF
1987,7658341000.0,1323790000.0,496348000.0,1412484000.0,5957698000.0,151904000.0,0.0,0.0,0.0,0.0,0.17285597494287602,0.3514007946284701,0.0,151904000.0,0.0,0.0,2691147112.9357924,1323790000.0,-1367357112.9357924,,,,,-38,,
1988,8337831000.0,1598301000.0,537434000.0,1582137000.0,5676616000.0,169768000.0,-343425000.0,0.0,0.0,0.0,0.19169265963774032,0.33968866160136574,0.0,169768000.0,343425000.0,0.0,2832266653.048377,1598301000.0,-1233965653.048377,17864000.0,343425000.0,0.0,-1407622653.048377,-37,,
1989,8965786000.0,1725785000.0,571471000.0,1764310000.0,5392238000.0,183765000.0,-401801000.0,0.0,0.0,0.0,0.19248563371911845,0.3239062296308472,0.0,183765000.0,401801000.0,0.0,2904073938.937035,1725785000.0,-1178288938.937035,13997000.0,58376000.0,0.0,-1396324938.937035,-36,,
1990,10236350000.0,1951563000.0,632532000.0,2014436000.0,5345914000.0,243888000.0,-573763000.0,0.0,0.0,0.0,0.19065028061760295,0.3139995512391558,0.0,243888000.0,573763000.0,0.0,3214209306.3269324,1951563000.0,-1262646306.3269324,60123000.0,171962000.0,0.0,-1592521306.3269324,-35,,
1991,11571610000.0,2319042000.0,765277000.0,2383279000.0,10631680000.0,261427000.0,-747719000.0,0.0,0.0,0.0,0.20040789483917967,0.3211025649955377,0.0,261427000.0,747719000.0,0.0,3715673652.128014,2319042000.0,-1396631652.128014,17539000.0,173956000.0,0.0,-1882923652.128014,-34,,
1992,13073860000.0,2770091000.0,862273000.0,2746088000.0,5227084000.0,321922000.0,-1036192000.0,0.0,0.0,0.0,0.21188011803706022,0.31400049816320524,0.0,321922000.0,1036192000.0,0.0,4105198552.9160023,2770091000.0,-1335107552.9160023,60495000.0,288473000.0,0.0,-2049377552.9160023,-33,,
1993,13957000000.0,3102000000.0,997000000.0,3185000000.0,5208000000.0,360000000.0,-488000000.0,0.0,0.0,0.0,0.22225406606004156,0.3130298273155416,0.0,360000000.0,488000000.0,0.0,4368957299.843014,3102000000.0,-1266957299.8430138,38078000.0,-548192000.0,0.0,-1394957299.8430138,-32,,
1994,16172000000.0,3708000000.0,1174000000.0,3728000000.0,5160000000.0,411000000.0,-769000000.0,0.0,0.0,0.0,0.2292851842691071,0.31491416309012876,0.0,411000000.0,769000000.0,0.0,5092791845.493563,3708000000.0,-1384791845.4935627,51000000.0,281000000.0,0.0,-1742791845.4935627,-31,,
1995,18018000000.0,4092000000.0,1342000000.0,4328000000.0,5049000000.0,454000000.0,-893000000.0,0.0,0.0,0.0,0.2271062271062271,0.3100739371534196,0.0,454000000.0,893000000.0,0.0,5586912199.630314,4092000000.0,-1494912199.6303139,43000000.0,124000000.0,0.0,-1933912199.6303139,-30,,
1996,18546000000.0,3915000000.0,1104000000.0,4596000000.0,4988000000.0,479000000.0,-909000000.0,0.0,0.0,0.0,0.21109673244904562,0.2402088772845953,0.0,479000000.0,909000000.0,0.0,4454913838.120105,3915000000.0,-539913838.1201048,25000000.0,16000000.0,0.0,-969913838.1201048,-29,,
1997,18868000000.0,5001000000.0,1926000000.0,6055000000.0,5030000000.0,626000000.0,-1022000000.0,0.0,0.0,0.0,0.26505193979224084,0.31808422791081753,0.0,626000000.0,1022000000.0,0.0,6001613212.221305,5001000000.0,-1000613212.2213049,147000000.0,113000000.0,0.0,-1396613212.221305,-28,,
1998,18813000000.0,4967000000.0,1665000000.0,5198000000.0,4992000000.0,645000000.0,-809000000.0,0.0,0.0,0.0,0.2640195609419019,0.32031550596383224,0.0,645000000.0,809000000.0,0.0,6026095613.697576,4967000000.0,-1059095613.6975756,19000000.0,-213000000.0,0.0,-1223095613.6975756,-27,,
2000,17354000000.0,3691000000.0,1222000000.0,3399000000.0,4974000000.0,773000000.0,-688000000.0,0.0,0.0,0.0,0.2126887172986055,0.3595175051485731,0.0,773000000.0,688000000.0,0.0,6239066784.348338,3691000000.0,-2548066784.348338,128000000.0,-121000000.0,0.0,-2463066784.348338,-25,,
2001,17545000000.0,5352000000.0,1691000000.0,5670000000.0,4974000000.0,803000000.0,-678000000.0,0.0,0.0,0.0,0.30504417212881163,0.2982363315696649,0.0,803000000.0,678000000.0,0.0,5232556437.3897705,5352000000.0,119443562.61022949,30000000.0,-10000000.0,0.0,244443562.6102295,-24,,
2002,19564000000.0,5458000000.0,1523000000.0,5499000000.0,4966000000.0,806000000.0,-782000000.0,0.0,0.0,0.0,0.27898180331220607,0.2769594471722131,0.0,806000000.0,782000000.0,0.0,5418434624.477177,5457999999.999999,39565375.52282238,3000000.0,104000000.0,0.0,63565375.52282238,-23,,
2003,20857000000.0,5221000000.0,1148000000.0,5495000000.0,4924000000.0,850000000.0,-725000000.0,0.0,0.0,0.0,0.25032363235364624,0.2089171974522293,0.0,850000000.0,725000000.0,0.0,4357385987.261147,5221000000.0,863614012.7388535,44000000.0,-57000000.0,0.0,988614012.7388535,-22,,
