Year,Revenue,EBIT,Income_Taxes,Pretax_Income,Diluted_Shares,D&A_Raw,CapEx_Raw,Current_Assets,Current_Liabilities,EBIT_Margin,Tax_Rate,NWC,NWC_Change,D&A,CapEx,Tax_Expense,EBIT_Calc,NOPAT,FCF,Period,Discount_Factor,DCF
1987,7658341000.0,1323790000.0,496348000.0,1412484000.0,5957698000.0,151904000.0,0.0,4231921000.0,4083379000.0,0.17285597494287602,0.3514007946284701,148542000.0,,151904000.0,0.0,2691147112.9357924,1323790000.0,-1367357112.9357924,,-38,,
1988,8337831000.0,1598301000.0,537434000.0,1582137000.0,5676616000.0,169768000.0,343425000.0,3245432000.0,2868897000.0,0.19169265963774032,0.33968866160136574,376535000.0,227993000.0,169768000.0,343425000.0,2832266653.048377,1598301000.0,-1233965653.048377,-1635615653.048377,-37,,
1989,8965786000.0,1725785000.0,571471000.0,1764310000.0,5392238000.0,183765000.0,401801000.0,3603500000.0,3657930000.0,0.19248563371911845,0.3239062296308472,-54430000.0,-430965000.0,183765000.0,401801000.0,2904073938.937035,1725785000.0,-1178288938.937035,-965359938.9370351,-36,,
1990,10236350000.0,1951563000.0,632532000.0,2014436000.0,5345914000.0,243888000.0,573763000.0,4142778000.0,4296491000.0,0.19065028061760295,0.3139995512391558,-153713000.0,-99283000.0,243888000.0,573763000.0,3214209306.3269324,1951563000.0,-1262646306.3269324,-1493238306.3269324,-35,,
1991,11571610000.0,2319042000.0,765277000.0,2383279000.0,10631680000.0,261427000.0,747719000.0,4144244000.0,4255173000.0,0.20040789483917967,0.3211025649955377,-110929000.0,42784000.0,261427000.0,747719000.0,3715673652.128014,2319042000.0,-1396631652.128014,-1925707652.128014,-34,,
1992,13073860000.0,2770091000.0,862273000.0,2746088000.0,5227084000.0,321922000.0,1036192000.0,4247677000.0,5303222000.0,0.21188011803706022,0.31400049816320524,-1055545000.0,-944616000.0,321922000.0,1036192000.0,4105198552.9160023,2770091000.0,-1335107552.9160023,-1104761552.9160023,-33,,
1993,13957000000.0,3102000000.0,997000000.0,3185000000.0,5208000000.0,360000000.0,488000000.0,4434000000.0,5171000000.0,0.22225406606004156,0.3130298273155416,-737000000.0,318545000.0,360000000.0,488000000.0,4368957299.843014,3102000000.0,-1266957299.8430138,-1713502299.8430138,-32,,
1994,16172000000.0,3708000000.0,1174000000.0,3728000000.0,5160000000.0,411000000.0,769000000.0,5205000000.0,6177000000.0,0.2292851842691071,0.31491416309012876,-972000000.0,-235000000.0,411000000.0,769000000.0,5092791845.493563,3708000000.0,-1384791845.4935627,-1507791845.4935627,-31,,
1995,18018000000.0,4092000000.0,1342000000.0,4328000000.0,5049000000.0,454000000.0,893000000.0,5450000000.0,7348000000.0,0.2271062271062271,0.3100739371534196,-1898000000.0,-926000000.0,454000000.0,893000000.0,5586912199.630314,4092000000.0,-1494912199.6303139,-1007912199.6303139,-30,,
1996,18546000000.0,3915000000.0,1104000000.0,4596000000.0,4988000000.0,479000000.0,909000000.0,5910000000.0,7406000000.0,0.21109673244904562,0.2402088772845953,-1496000000.0,402000000.0,479000000.0,909000000.0,4454913838.120105,3915000000.0,-539913838.1201048,-1371913838.1201048,-29,,
