TICKER,ASOF_DATE,YR,CASH,RECEIVABLES,INVENTORY,PREPAID,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PPE,LONG_TERM_INVESTMENTS,GOODWILL_INTANGIBLE_ASSETS,OTHER_LONG_TERM_ASSETS,TOTAL_LONG_TERM_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,OTHER_NONCURRENT_LIABILITIES,TOTAL_LONG_TERM_LIABILITIES,TOTAL_LIABILITIES,NET_COMMON_STOCK,RETAINED_EARNINGS,COMPREHENSIVE_INCOME,OTHER_SHAREHOLDERS_EQUITY,SHAREHOLDER_EQUITY,TOTAL_LIABILITIES_AND_SHAREHOLDERS_EQUITY,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/17/2026,2024,14571000000,3569000000,4728000000,3129000000,0,25997000000,10303000000,18087000000,31440000000,13403000000,74552000000,1.00549E+11,25249000000,42375000000,4084000000,48928000000,74177000000,1760000000,76054000000,-16843000000,0,26372000000,1.00549E+11,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2023,13663000000,3410000000,4424000000,5235000000,0,26732000000,9236000000,19671000000,32707000000,7796000000,70971000000,97703000000,23571000000,35547000000,8466000000,46652000000,70223000000,1760000000,73782000000,-14275000000,0,27480000000,97703000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2022,11631000000,3487000000,4233000000,3240000000,0,22591000000,9841000000,18765000000,33631000000,6189000000,70172000000,92763000000,19724000000,36377000000,7922000000,47213000000,66937000000,1760000000,71019000000,-14895000000,0,25826000000,92763000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2021,12625000000,3512000000,3414000000,2994000000,0,22545000000,9920000000,18416000000,34613000000,6731000000,71809000000,94354000000,19950000000,38116000000,8607000000,49544000000,69494000000,1760000000,69094000000,-14330000000,0,24860000000,94354000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2020,10914000000,3144000000,3266000000,1916000000,0,19240000000,10777000000,20085000000,28550000000,6184000000,68056000000,87296000000,14601000000,40125000000,9453000000,51411000000,66012000000,1760000000,66555000000,-14601000000,0,21284000000,87296000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2019,11175000000,3971000000,3379000000,1886000000,0,20411000000,10838000000,19879000000,26766000000,6075000000,65970000000,86381000000,26973000000,27516000000,8510000000,38310000000,65283000000,1760000000,65855000000,-13544000000,0,21098000000,86381000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2018,16115000000,3685000000,3071000000,2059000000,0,24930000000,9598000000,20279000000,21587000000,4148000000,58286000000,83216000000,28782000000,25376000000,7646000000,35376000000,64158000000,1760000000,63234000000,-12814000000,0,19058000000,83216000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2017,20675000000,3667000000,2655000000,2000000000,219000000,36545000000,8203000000,21952000000,16636000000,4230000000,51351000000,87896000000,27194000000,31182000000,8021000000,41725000000,68919000000,1760000000,60430000000,-10305000000,0,18977000000,87896000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2016,22201000000,3856000000,2675000000,2481000000,2797000000,34010000000,10635000000,17249000000,21128000000,4248000000,53260000000,87270000000,26532000000,29684000000,4081000000,37518000000,64050000000,1760000000,65502000000,-11205000000,0,23220000000,87270000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2015,19900000000,3941000000,2902000000,2752000000,3900000000,33395000000,12571000000,15788000000,24132000000,4110000000,56601000000,89996000000,26929000000,28311000000,4301000000,37303000000,64232000000,1760000000,65018000000,-10174000000,0,25764000000,89996000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2014,21675000000,4466000000,3100000000,3066000000,679000000,32986000000,14633000000,13625000000,26372000000,4407000000,59037000000,92023000000,32374000000,19063000000,4389000000,29088000000,61462000000,1760000000,63408000000,-5777000000,0,30561000000,92023000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2013,20268000000,4873000000,3277000000,2886000000,0,31304000000,14967000000,11512000000,27611000000,4661000000,58751000000,90055000000,27811000000,19154000000,3498000000,28804000000,56615000000,1760000000,61660000000,-3432000000,0,33440000000,90055000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2012,16551000000,4759000000,3264000000,2781000000,2973000000,30328000000,14476000000,10448000000,27337000000,3585000000,55846000000,86174000000,27821000000,14736000000,5468000000,25185000000,53006000000,1760000000,58045000000,-3385000000,0,33168000000,86174000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2011,14035000000,4920000000,3092000000,3450000000,0,25497000000,14939000000,8374000000,27669000000,3495000000,54477000000,79974000000,24283000000,13656000000,5420000000,23770000000,48053000000,1760000000,53621000000,-2774000000,0,31921000000,79974000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2010,11337000000,4430000000,2650000000,3162000000,0,21579000000,14727000000,15096000000,2365200,2121000000,31946370000,72921000000,18508000000,3122100,4794000000,9058122000,41604000000,880000000,49278000000,-247000,0,31317000000,72921000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2009,9213000000,3758000000,2354000000,2226000000,0,17551000000,9561000000,8708000000,10875000000,1976000000,31120000000,48671000000,13721000000,5059000000,2965000000,9604000000,23325000000,880000000,41537000000,-757000000,0,25346000000,48671000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2008,4979000000,3090000000,2187000000,1920000000,0,12176000000,8326000000,5779000000,12505000000,1733000000,28343000000,40519000000,12988000000,2781000000,3011000000,6669000000,19657000000,880000000,38513000000,-2674000000,0,20862000000,40519000000,#VALUE!,#VALUE!,3/17/2026 14:16
KO,3/17/2026,2007,4308000000,3317000000,2220000000,2260000000,0,12105000000,8493000000,7777000000,12219000000,2675000000,31164000000,43269000000,13225000000,3277000000,3133000000,8300000000,21525000000,880000000,36235000000,626000000,0,21744000000,43269000000,#VALUE!,#VALUE!,3/17/2026 14:16
