TICKER,ASOF_DATE,YR,NET_INCOME,D_A,OTHER_NONCASH,TOTAL_NONCASH,CHANGE_AR,CHANGE_INVENTORY,CHANGE_AP,CHANGE_ASSETS_LIABILITIES,TOTAL_CHANGE_IN_ASSETS_LIABILITIES,OPERATING_CASHFLOW,NET_CHANGE_PPE,NET_CHANGE_INTANGIBLE_ASSETS,NET_AQUISITIONS_DIVESTITURES,NET_CHANGE_SHORT_INVESTMENTS,NET_CHANGE_LONG_INVESTMENTS,NET_CHANGE_TOTAL_INVESTMENTS,OTHER_INVESTING_ACTIVITIES,INVESTING_ACTIVITIES_CASHFLOW,NET_LONG_DEBT,NET_CURRENT_DEBT,NET_TOTAL_DEBT_ISSUANCE_RETIREMENT,NET_COMMON_EQUITY_ISSUES_REPURCHASED,NET_TOTAL_EQUITY_ISSUED_REPURCHASED,TOTAL_COMMON_PERFERED_DIVIDENDS_PAID,OTHER_FINANCIAL_ACTIVITIES,CASHFLOW_FINANCIAL_ACTIVITIES,NET_CASHFLOW,STOCK_BASED_COMPENSATION,COMMON_STOCK_DIVIDENDS_PAID,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/8/2026,2025,13137000000,1050000000,429000000,1479000000,0,0,0,-7208000000,-7208000000,7408000000,-2099000000,0,3106000000,0,-1495000000,-1495000000,421000000,-67000000,13000000,0,13000000,-433000000,-433000000,-8779000000,1059000000,-8140000000,-1218000000,279000000,-8779000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2024,10649000000,1075000000,1315000000,2390000000,0,0,0,-6234000000,-6234000000,6805000000,-2024000000,0,3170000000,949000000,0,949000000,429000000,2524000000,2528000000,0,2528000000,-1048000000,-1048000000,-8359000000,-31000000,-6910000000,1136000000,286000000,-8359000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2023,10703000000,1128000000,614000000,1742000000,0,0,0,-846000000,-846000000,11599000000,-1778000000,0,368000000,-2344000000,0,-2344000000,405000000,-3349000000,1857000000,0,1857000000,-1750000000,-1750000000,-7952000000,-465000000,-8310000000,-459000000,254000000,-7952000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2022,9571000000,1260000000,792000000,2052000000,0,0,0,-605000000,-605000000,11018000000,-1409000000,0,385000000,1020000000,0,1020000000,-759000000,-763000000,-958000000,0,-958000000,-581000000,-581000000,-7616000000,-1095000000,-10250000000,-506000000,356000000,-7616000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2021,9804000000,1452000000,44000000,1496000000,0,0,0,1325000000,1325000000,12625000000,-1259000000,0,-2586000000,1029000000,0,1029000000,51000000,-2765000000,228000000,0,228000000,591000000,591000000,-7252000000,-353000000,-6786000000,2574000000,337000000,-7252000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2020,7768000000,1536000000,-150000000,1386000000,0,0,0,690000000,690000000,9844000000,-988000000,0,-863000000,252000000,0,252000000,122000000,-1477000000,-1862000000,0,-1862000000,529000000,529000000,-7047000000,310000000,-8070000000,58000000,126000000,-7047000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2019,8985000000,1365000000,-245000000,1120000000,0,0,0,366000000,366000000,10471000000,-1076000000,0,-5113000000,-4704000000,6973000000,2269000000,-56000000,-3976000000,-1841000000,0,-1841000000,-91000000,-91000000,-6845000000,-227000000,-9004000000,-2838000000,201000000,-6845000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2018,6476000000,1086000000,1305000000,2391000000,0,0,0,-1240000000,-1240000000,7627000000,-1300000000,0,99000000,7188000000,0,7188000000,-60000000,5927000000,-2995000000,0,-2995000000,-436000000,-436000000,-6644000000,-272000000,-10347000000,2704000000,225000000,-6644000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2017,1283000000,1260000000,1056000000,2316000000,0,0,0,3442000000,3442000000,7041000000,-1642000000,0,12000000,-602000000,0,-602000000,-80000000,-2312000000,1055000000,0,1055000000,-2087000000,-2087000000,-6320000000,-95000000,-7447000000,-2748000000,219000000,-6320000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2016,6550000000,1787000000,680000000,2467000000,0,0,0,-225000000,-225000000,8792000000,-2112000000,0,197000000,1216000000,0,1216000000,-305000000,-1004000000,1666000000,0,1666000000,-2247000000,-2247000000,-6043000000,79000000,-6545000000,943000000,258000000,-6043000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
KO,3/8/2026,2015,7366000000,1970000000,1349000000,3319000000,0,0,0,-157000000,-157000000,10528000000,-2468000000,0,-1926000000,-1752000000,0,-1752000000,-40000000,-6186000000,2696000000,0,2696000000,-2319000000,-2319000000,-5741000000,251000000,-5113000000,-1649000000,236000000,-5741000000,KO_CASH_YR.xlsx,KO_CASH_YR-001,3/8/2026 22:48
