TICKER,ASOF_DATE,YR,QRT_NUM,REVENUE,COGS,GROSS_PROFIT,SGA_EXPENSES,OTHER_OPERATING_INCOME_OR_EXPENSES,OPERATING_EXPENSES,OPERATING_INCOME,TOTAL_NONOPERATING_INCOME_OR_EXPENSE,PRETAX_INCOME,INCOME_TAXES,INCOME_AFTER_TAXES,OTHER_INCOME,INCOME_FROM_CONTINUOUS_OPERATIONS,INCOME_FROM_DISCONTINUED_OPERATIONS,NET_INCOME,EBITDA,EBIT,BASIC_SHARES,DILUTED_SHARES,BASIC_EPS,DILUTED_EPS,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,2025,Q4,11822000000,4797000000,7821000000,3234000000,-176000000,4680000000,2632000000,1731000000,2482000000,454000000,2521000000,0,2056000000,0,1905000000,770956100,836534200,5307288000,10631680000,0.52,0.34,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q3,12455000000,4714000000,6966000000,4046000000,-1044000000,4919000000,2141000000,209000000,3537000000,359000000,3113000000,0,2822000000,0,2781000000,836534200,579484900,5315840000,5321094000,0.34,0.4,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q2,12535000000,4163000000,6931000000,3636000000,-1370000000,4924000000,2273000000,267000000,2880000000,940000000,2056000000,0,1900000000,0,2414000000,579484900,487078100,5321094000,5331362000,0.4,0.41,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q1,11129000000,4613000000,7190000000,3549000000,-1573000000,3942000000,3270000000,479000000,4053000000,444000000,2822000000,0,2793000000,0,2471000000,487078100,644703900,5331362000,5335388000,0.41,0.64,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q4,11544000000,4664000000,7551000000,3351000000,-143000000,4026000000,2401000000,686000000,2500000000,622000000,1900000000,0,2450000000,0,2641000000,644703900,693266800,5335388000,5345914000,0.65,0.47,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q3,11854000000,4812000000,7065000000,3799000000,-359000000,4659000000,3367000000,425000000,3444000000,384000000,2793000000,0,2475000000,0,2245000000,693266800,493996100,5345914000,5341026000,0.48,0.6,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q2,12363000000,4235000000,6215000000,3667000000,-1338000000,3296000000,2075000000,356000000,2284000000,665000000,2450000000,0,2624000000,0,1456000000,493996100,421468000,5341026000,5339712000,0.61,0.61,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q1,11300000000,4634000000,7296000000,3321000000,-111000000,3537000000,3088000000,-57000000,3458000000,510000000,2475000000,0,2255000000,0,1737000000,421468000,512429900,5339712000,5340552000,0.61,0.39,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q4,10849000000,4657000000,7060000000,3185000000,-106000000,3409000000,2341000000,53000000,2960000000,609000000,2624000000,0,1474000000,0,1779000000,512429900,579682100,5340552000,5392238000,0.39,0.2,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q3,11953000000,4912000000,6663000000,3431000000,-130000000,4154000000,3405000000,1288000000,3084000000,994000000,2255000000,0,1740000000,0,2775000000,579682100,437983200,5392238000,5461042000,0.21,0.44,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q2,11972000000,4317000000,5612000000,3279000000,-951000000,2995000000,1672000000,186000000,3618000000,508000000,1474000000,0,1759000000,0,2042000000,437983200,381755100,5461042000,5534418000,0.44,0.54,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q1,10980000000,4513000000,6497000000,3203000000,-28000000,3704000000,2898000000,602000000,2763000000,887000000,1740000000,0,2795000000,0,2593000000,381755100,458300000,5534418000,5602486000,0.54,0.32,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q4,10125000000,4566000000,6495000000,2967000000,-368000000,3167000000,3016000000,41000000,2361000000,441000000,1759000000,0,2065000000,0,2607000000,458300000,498775100,5602486000,5676616000,0.32,-0.63,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q3,11063000000,4830000000,6400000000,3336000000,-45000000,3326000000,2722000000,23000000,2181000000,438000000,2795000000,0,2589000000,0,1678000000,498775100,386955000,5676616000,0,-0.65,0.33,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q2,11325000000,4091000000,5376000000,3122000000,-309000000,2793000000,2338000000,-117000000,2197000000,215000000,2065000000,0,2628000000,0,870000000,386955000,340715000,0,5845220000,0.34,0.32,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q1,10491000000,4088000000,6065000000,3017000000,-124000000,2695000000,2298000000,216000000,3010000000,355000000,2589000000,0,1703000000,0,1880000000,340715000,431427000,5845220000,591044000,0.32,0.27,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q4,9464000000,3977000000,6342000000,2669000000,-106000000,2883000000,1981000000,630000000,2420000000,503000000,2628000000,0,1000000000,0,2316000000,431427000,465457000,591044000,5957698000,0.28,0.12,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q3,10042000000,3787000000,5515000000,2589000000,-372000000,2156000000,2380000000,256000000,3092000000,421000000,1703000000,0,1818000000,0,1368000000,465457000,360702000,5957698000,6006550000,0.13,0.24,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q2,10129000000,3505000000,5033000000,2511000000,-173000000,2850000000,2164000000,593000000,3049000000,522000000,1000000000,0,2331000000,73000000,-2752000000,360702000,182247000,6006550000,6031696000,0.24,0.79,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q1,9020000000,3578000000,5181000000,1983000000,-202000000,3338000000,2499000000,61000000,2225000000,77000000,1818000000,0,1327000000,0,1447000000,182247000,394154100,6031696000,6049004000,0.8,0.34,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q4,8611000000,3471000000,4137000000,2648000000,-114000000,3241000000,2988000000,-210000000,1077000000,555000000,2331000000,0,-2717000000,0,1371000000,394154100,423273900,6049004000,0,0.34,0.28,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q3,8652000000,3013000000,5230000000,3224000000,-125000000,3088000000,2435000000,-884000000,2373000000,611000000,1327000000,0,1444000000,0,1182000000,423273900,324115000,0,0,0.29,0.33,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q2,7150000000,3371000000,5502000000,3116000000,-92000000,2894000000,1961000000,-241000000,2942000000,506000000,-2717000000,0,1372000000,0,550000000,324115000,0,0,0,0.33,0.71,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q1,8601000000,3566000000,5740000000,2996000000,-127000000,3077000000,2614000000,176000000,1833000000,3802000000,1444000000,0,1184000000,0,1046000000,0,0,0,0,0.71,0.35,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q4,9068000000,3767000000,6076000000,2767000000,-163000000,2815000000,2766000000,22000000,1085000000,230000000,1372000000,0,547000000,0,3448000000,0,0,0,0,0.36,0.18,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q3,9507000000,3921000000,5329000000,2914000000,-155000000,3112000000,1811000000,-425000000,1674000000,1252000000,1184000000,0,1050000000,0,1483000000,0,0,0,0,0.18,0.48,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q2,9997000000,3365000000,5038000000,2660000000,-225000000,3077000000,1510000000,-571000000,2624000000,323000000,547000000,0,3460000000,0,1237000000,0,0,0,0,0.48,0.58,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q1,8694000000,3440000000,5429000000,2887000000,-536000000,3649000000,2245000000,587000000,1507000000,-32000000,1050000000,0,1493000000,0,1449000000,0,0,0,0,0.59,0.36,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q4,8478000000,3346000000,5878000000,2541000000,-592000000,3439000000,2037000000,-456000000,515000000,378000000,3460000000,0,1236000000,0,3108000000,0,0,0,0,0.37,0.38,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q3,8775000000,3543000000,4888000000,3057000000,-194000000,4006000000,1963000000,-871000000,1428000000,839000000,1493000000,0,1453000000,0,1557000000,0,0,0,0,0.4,0.54,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
