TICKER,ASOF_DATE,YR,QRT_NUM,CASH,RECEIVABLES,INVENTORY,PREPAID,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PPE,LONG_TERM_INVESTMENTS,GOODWILL_INTANGIBLE_ASSETS,OTHER_LONG_TERM_ASSETS,TOTAL_LONG_TERM_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,OTHER_NONCURRENT_LIABILITIES,TOTAL_LONG_TERM_LIABILITIES,TOTAL_LIABILITIES,NET_COMMON_STOCK,RETAINED_EARNINGS,COMPREHENSIVE_INCOME,OTHER_SHAREHOLDERS_EQUITY,SHAREHOLDER_EQUITY,TOTAL_LIABILITIES_AND_SHAREHOLDERS_EQUITY,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,2025,Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2025,Q3,15781000000,4168000000,5102000000,3129000000,0,31599000000,9306000000,19671000000,32885000000,6592000000,70524000000,92763000000,21439000000,36755000000,8252000000,49544000000,66473000000,1760000000,67009000000,-14601000000,0,19189000000,94013000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2025,Q2,14297000000,4091000000,4728000000,3177000000,0,29462000000,9236000000,19360000000,33486000000,6324000000,70172000000,92471000000,20531000000,37052000000,8607000000,50483000000,65939000000,1760000000,66555000000,-15446000000,0,19834000000,86381000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2025,Q1,13787000000,3569000000,4714000000,3298000000,0,26732000000,8860000000,19420000000,33575000000,6189000000,68332000000,93169000000,18787000000,38116000000,8401000000,50640000000,67661000000,1760000000,66863000000,-16460000000,0,21098000000,87433000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2024,Q4,14571000000,4233000000,4763000000,3338000000,0,27867000000,9706000000,19081000000,33631000000,6130000000,70028000000,94064000000,19950000000,39394000000,8350000000,51175000000,66012000000,1760000000,66888000000,-15696000000,0,20683000000,89996000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2024,Q3,18164000000,4545000000,4961000000,5235000000,0,27591000000,9848000000,18765000000,32946000000,6470000000,71908000000,94354000000,15990000000,39804000000,8558000000,51411000000,76868000000,1760000000,66870000000,-13544000000,0,20295000000,88347000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2024,Q2,18993000000,4244000000,4424000000,4685000000,0,26880000000,9841000000,18305000000,33888000000,6392000000,71809000000,90606000000,15299000000,40170000000,9453000000,49977000000,75500000000,1760000000,65855000000,-13706000000,0,19804000000,83216000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2024,Q1,16919000000,3410000000,4252000000,3281000000,0,22591000000,9243000000,18375000000,34740000000,6731000000,66366000000,90194000000,16486000000,40125000000,8530000000,48652000000,74179000000,1760000000,65481000000,-12981000000,0,19058000000,86877000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2023,Q4,13663000000,3495000000,4646000000,3259000000,0,24139000000,9462000000,18986000000,34613000000,6490000000,67713000000,89993000000,14601000000,39502000000,8954000000,41782000000,65283000000,1760000000,64602000000,-12325000000,0,20178000000,89593000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2023,Q3,15435000000,3970000000,4727000000,3240000000,0,23141000000,9784000000,18416000000,28400000000,6553000000,68061000000,87296000000,26891000000,37729000000,8832000000,38310000000,66750000000,1760000000,63704000000,-12814000000,0,20176000000,93282000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2023,Q2,15694000000,4599000000,4233000000,3217000000,0,22156000000,9920000000,19181000000,28906000000,6494000000,68056000000,97184000000,26848000000,31094000000,8510000000,41650000000,69701000000,1760000000,63234000000,-12070000000,0,21617000000,87896000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2023,Q1,14295000000,3487000000,3708000000,3407000000,0,22545000000,10058000000,19416000000,28790000000,6184000000,66774000000,94689000000,32397000000,27516000000,8057000000,40319000000,68543000000,1760000000,64028000000,-11774000000,0,18977000000,90515000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2022,Q4,11631000000,3994000000,3621000000,3418000000,0,24240000000,10547000000,19772000000,28550000000,6161000000,65318000000,94013000000,26973000000,31012000000,8336000000,40600000000,64158000000,1760000000,63808000000,-10038000000,0,22152000000,91146000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2022,Q3,13220000000,4494000000,3741000000,2994000000,0,22481000000,10673000000,20085000000,27920000000,5875000000,65779000000,86381000000,25100000000,29296000000,8598000000,35376000000,66699000000,1760000000,63150000000,-10305000000,0,22089000000,91201000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
KO,3/7/2026,2022,Q2,11619000000,4641000000,3414000000,2300000000,0,21932000000,10777000000,19587000000,27447000000,6001000000,65970000000,87433000000,29382000000,29400000000,7646000000,35269000000,69417000000,1760000000,60430000000,-9843000000,0,23067000000,87270000000,KO_BAL-SH_QRT.xlsx,KO_BAL-SH_QRT-002,3/7/2026 20:00
