TICKER,ASOF_DATE,YR,CASH,RECEIVABLES,INVENTORY,PREPAID,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PPE,LONG_TERM_INVESTMENTS,GOODWILL_INTANGIBLE_ASSETS,OTHER_LONG_TERM_ASSETS,TOTAL_LONG_TERM_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,OTHER_NONCURRENT_LIABILITIES,TOTAL_LONG_TERM_LIABILITIES,TOTAL_LIABILITIES,NET_COMMON_STOCK,RETAINED_EARNINGS,COMPREHENSIVE_INCOME,OTHER_SHAREHOLDERS_EQUITY,SHAREHOLDER_EQUITY,TOTAL_LIABILITIES_AND_SHAREHOLDERS_EQUITY,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,2024,14571,3569,4728,3129,0,25997,10303,18087,31440,13403,74552,100549,25249,42375,4084,48928,74177,1760,76054,-16843,0,26372,100549,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2023,13663,3410,4424,5235,0,26732,9236,19671,32707,7796,70971,97703,23571,35547,8466,46652,70223,1760,73782,-14275,0,27480,97703,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2022,11631,3487,4233,3240,0,22591,9841,18765,33631,6189,70172,92763,19724,36377,7922,47213,66937,1760,71019,-14895,0,25826,92763,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2021,12625,3512,3414,2994,0,22545,9920,18416,34613,6731,71809,94354,19950,38116,8607,49544,69494,1760,69094,-14330,0,24860,94354,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2020,10914,3144,3266,1916,0,19240,10777,20085,28550,6184,68056,87296,14601,40125,9453,51411,66012,1760,66555,-14601,0,21284,87296,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2019,11175,3971,3379,1886,0,20411,10838,19879,26766,6075,65970,86381,26973,27516,8510,38310,65283,1760,65855,-13544,0,21098,86381,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2018,16115,3685,3071,2059,0,24930,9598,20279,21587,4148,58286,83216,28782,25376,7646,35376,64158,1760,63234,-12814,0,19058,83216,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2017,20675,3667,2655,2000,219,36545,8203,21952,16636,4230,51351,87896,27194,31182,8021,41725,68919,1760,60430,-10305,0,18977,87896,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2016,22201,3856,2675,2481,2797,34010,10635,17249,21128,4248,53260,87270,26532,29684,4081,37518,64050,1760,65502,-11205,0,23220,87270,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2015,19900,3941,2902,2752,3900,33395,12571,15788,24132,4110,56601,89996,26929,28311,4301,37303,64232,1760,65018,-10174,0,25764,89996,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2014,21675,4466,3100,3066,679,32986,14633,13625,26372,4407,59037,92023,32374,19063,4389,29088,61462,1760,63408,-5777,0,30561,92023,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2013,20268,4873,3277,2886,0,31304,14967,11512,27611,4661,58751,90055,27811,19154,3498,28804,56615,1760,61660,-3432,0,33440,90055,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2012,16551,4759,3264,2781,2973,30328,14476,10448,27337,3585,55846,86174,27821,14736,5468,25185,53006,1760,58045,-3385,0,33168,86174,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2011,14035,4920,3092,3450,0,25497,14939,8374,27669,3495,54477,79974,24283,13656,5420,23770,48053,1760,53621,-2774,0,31921,79974,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2010,11337,4430,2650,3162,0,21579,14727,15096,2.3652,2121,31946.37,72921,18508,3.1221,4794,9058.122,41604,880,49278,-0.247,0,31317,72921,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2009,9213,3758,2354,2226,0,17551,9561,8708,10875,1976,31120,48671,13721,5059,2965,9604,23325,880,41537,-757,0,25346,48671,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2008,4979,3090,2187,1920,0,12176,8326,5779,12505,1733,28343,40519,12988,2781,3011,6669,19657,880,38513,-2674,0,20862,40519,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2007,4308,3317,2220,2260,0,12105,8493,7777,12219,2675,31164,43269,13225,3277,3133,8300,21525,880,36235,626,0,21744,43269,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2006,2590,2587,1641,1623,0,8441,6903,6783,5135,2701,21522,29963,8890,1314,2231,4153,13043,878,33468,-1291,0,16920,29963,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,2005,4767,2281,1379,1778,0,10205,5831,6922,3821,2648,19222,29427,9836,1154,1730,3236,13072,877,31299,-1669,0,16355,29427,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
